title,url,description,category,difficulty,rating,provider,resource_type,skills,field_tags,search_text
21st Century Energy Transition: how do we make it work?,https://www.coursera.org/learn/21st-century-energy-transition,"Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments.",Physical Science & Engineering,Unknown,4.8,Coursera,Course,,"Engineering, Physical Sciences",21st century energy transition how do we make it work affordable abundant and reliable energy is fundamental to human well-being and prosperity. for the past 150 years more and more people have gained access to energy primarily in the form of fossil fuels coal petroleum and natural gas. but now even while half of humanity cannot access adequate energy supplies we are beginning a profound transition to more diverse energy sources. climate change environmental sustainability and energy poverty are all important and sometimes conflicting drivers as we strive to supply more energy to more people with fewer negative impacts on earth s environments. physical science & engineering unknown coursera course engineering physical sciences
3-Axis Machining with Autodesk Fusion 360,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360?specialization=autodesk-cad-cam-manufacturing,"As our machining geometry gets more complicated, Autodesk® Fusion 360™ is up to the task! With a host of standard and adaptive toolpaths we can rapidly remove material from even the most complicated 3d parts. In this course, we explore how to rough and finish geometry that requires tool motion in X, Y, and Z simultaneously, learning how to finish even the finest of details. We’ll wrap up this course by creating a full CNC program for a part, simulating it, and exporting it to G-code.",Physical Science & Engineering,Unknown,4.9,Coursera,Course,"Manufacturing Process Management, Computer-Aided Design (CAD), Computer-Aided Manufacturing, Autodesk Fusion 360, Mechanical Engineering","Engineering, Physical Sciences",3-axis machining with autodesk fusion 360 as our machining geometry gets more complicated autodesk fusion 360 is up to the task with a host of standard and adaptive toolpaths we can rapidly remove material from even the most complicated 3d parts. in this course we explore how to rough and finish geometry that requires tool motion in x y and z simultaneously learning how to finish even the finest of details. we ll wrap up this course by creating a full cnc program for a part simulating it and exporting it to g-code. physical science & engineering unknown coursera course manufacturing process management computer-aided design cad computer-aided manufacturing autodesk fusion 360 mechanical engineering engineering physical sciences
3D Model Creation with Autodesk Fusion 360,https://www.coursera.org/learn/3d-model-creation-fusion-360?specialization=cad-design-digital-manufacturing,"Design is the first phase in the digital manufacturing process. In this course, through a series of lectures and hands-on lessons, we’ll examine a designer’s approach to the design and manufacturing process—from concept to 3D model. We’ll start by applying design thinking to understand user needs, and then we’ll explore design criteria as we dive deeper into Autodesk® Fusion 360™ sketching, modeling, rendering, and documentation features.",Physical Science & Engineering,Unknown,4.8,Coursera,Course,,"Engineering, Physical Sciences",3d model creation with autodesk fusion 360 design is the first phase in the digital manufacturing process. in this course through a series of lectures and hands-on lessons we ll examine a designer s approach to the design and manufacturing process from concept to 3d model. we ll start by applying design thinking to understand user needs and then we ll explore design criteria as we dive deeper into autodesk fusion 360 sketching modeling rendering and documentation features. physical science & engineering unknown coursera course engineering physical sciences
3D Printing and Additive Manufacturing Specialization,https://www.coursera.org/specializations/3d-printing-additive-manufacturing,"Turn Your Ideas into Objects with 3D Printing. Obtain a rich understanding of what 3D printing is and how 3D printers work and develop skills in 3D Modeling. Consider how this new technology is being used by both firms and individuals with revolutionary potential; acquire a set of tangible skills that will allow you to design, prototype, manufacture, and share (or sell) physical objects.",Computer Science,Unknown,4.5,Coursera,Specialization,"Prototyping, Fusion360, Tinkercad, 3D printing, 3d modeling, Materials, Product Development, New Product Development, Human–Computer Interaction","Computer Science, Software Engineering, Information Technology",3d printing and additive manufacturing specialization turn your ideas into objects with 3d printing. obtain a rich understanding of what 3d printing is and how 3d printers work and develop skills in 3d modeling. consider how this new technology is being used by both firms and individuals with revolutionary potential acquire a set of tangible skills that will allow you to design prototype manufacture and share or sell physical objects. computer science unknown coursera specialization prototyping fusion360 tinkercad 3d printing 3d modeling materials product development new product development human computer interaction computer science software engineering information technology
3D Printing Applications,https://www.coursera.org/learn/3d-printing-applications?specialization=3d-printing-additive-manufacturing,"This course will help you understand how 3D printing is being applied across a number of domains, including design, manufacturing, and retailing. It will also demonstrate the special capabilities of 3D printing such as customization, self-assembly, and the ability to print complex objects. In addition to business applications, this course will also examine how individuals, including those in developing countries, are using this technology to create solutions to the problems they face. This course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. Learners who complete this course will obtain a rich understanding of the capabilities of 3D printing and how to think about designing objects for this new technology.",Business,Unknown,4.6,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",3d printing applications this course will help you understand how 3d printing is being applied across a number of domains including design manufacturing and retailing. it will also demonstrate the special capabilities of 3d printing such as customization self-assembly and the ability to print complex objects. in addition to business applications this course will also examine how individuals including those in developing countries are using this technology to create solutions to the problems they face. this course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. learners who complete this course will obtain a rich understanding of the capabilities of 3d printing and how to think about designing objects for this new technology. business unknown coursera course business management marketing entrepreneurship
3D Printing Capstone,https://www.coursera.org/learn/3d-printing-capstone?specialization=3d-printing-additive-manufacturing,"The capstone will integrate the learning acquired from the four courses in the 3D Printing Specialization through a hands-on project. This project will enable you to turn an idea into an object using the knowledge and skills acquired through the other courses. Specifically, you will be guided through a step-by-step process in which you imagine, design, make, and share a 3D printed object. Thus, through this capstone, you will be able to put course concepts into action and utilize the skills that you have acquired throughout the Specialization. In addition, you will be able to obtain an actual 3D print of the object you design at a discounted price through our corporate partners, 3D Hubs and Shapeways.",Business,Unknown,4.4,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",3d printing capstone the capstone will integrate the learning acquired from the four courses in the 3d printing specialization through a hands-on project. this project will enable you to turn an idea into an object using the knowledge and skills acquired through the other courses. specifically you will be guided through a step-by-step process in which you imagine design make and share a 3d printed object. thus through this capstone you will be able to put course concepts into action and utilize the skills that you have acquired throughout the specialization. in addition you will be able to obtain an actual 3d print of the object you design at a discounted price through our corporate partners 3d hubs and shapeways. business unknown coursera course business management marketing entrepreneurship
3D Printing Hardware,https://www.coursera.org/learn/3d-print-hardware?specialization=3d-printing-additive-manufacturing,"This course will provide an in-depth exploration of desktop 3D printing hardware. It will examine the history of desktop 3D printing and demonstrate how 3D printers are made and how they work. This course will also provide step-by-step instructions for how to use and repair a 3D printer. It will also explore the different types of materials that can be 3D printed and will demonstrate how you can create various objects using these tools and materials. Learners who complete this course will be able to successfully operate, repair, and upgrade a 3D printer. In addition, learners who enroll in the course certificate will be able to purchase a desktop 3D printer at a discounted price (provided by Ultimaker).",Business,Unknown,4.1,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",3d printing hardware this course will provide an in-depth exploration of desktop 3d printing hardware. it will examine the history of desktop 3d printing and demonstrate how 3d printers are made and how they work. this course will also provide step-by-step instructions for how to use and repair a 3d printer. it will also explore the different types of materials that can be 3d printed and will demonstrate how you can create various objects using these tools and materials. learners who complete this course will be able to successfully operate repair and upgrade a 3d printer. in addition learners who enroll in the course certificate will be able to purchase a desktop 3d printer at a discounted price provided by ultimaker . business unknown coursera course business management marketing entrepreneurship
3D Printing Software,https://www.coursera.org/learn/3d-printing-software?specialization=3d-printing-additive-manufacturing,"This course will demonstrate how to use 3D printing software to create digital designs that can be turned into physical objects. It will also demonstrate how 3D scanners work to turn physical objects into digital designs. This course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3D modeling programs, Tinkercad and Fusion 360. Learners who complete this course will be able to use 3D software to design a wide variety of objects for both personal and professional use. In addition, learners who enroll in the course certificate will receive extended free access to Fusion 360 (provided by Autodesk).",Business,Unknown,4.7,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",3d printing software this course will demonstrate how to use 3d printing software to create digital designs that can be turned into physical objects. it will also demonstrate how 3d scanners work to turn physical objects into digital designs. this course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3d modeling programs tinkercad and fusion 360. learners who complete this course will be able to use 3d software to design a wide variety of objects for both personal and professional use. in addition learners who enroll in the course certificate will receive extended free access to fusion 360 provided by autodesk . business unknown coursera course business management marketing entrepreneurship
3D Reconstruction - Multiple Viewpoints,https://www.coursera.org/learn/3d-reconstruction-multiple-viewpoints?specialization=firstprinciplesofcomputervision,"This course focuses on the recovery of the 3D structure of a scene from images taken from different viewpoints. We start by first building a comprehensive geometric model of a camera and then develop a method for finding (calibrating) the internal and external parameters of the camera model. Then, we show how two such calibrated cameras, whose relative positions and orientations are known, can be used to recover the 3D structure of the scene. This is what we refer to as simple binocular stereo. Next, we tackle the problem of uncalibrated stereo where the relative positions and orientations of the two cameras are unknown. Interestingly, just from the two images taken by the cameras, we can both determine the relative positions and orientations of the cameras and then use this information to estimate the 3D structure of the scene.",Computer Science,Unknown,4.8,Coursera,Course,"Epipolar Geometry, Camera Model, Camera Calibration, Structure from Motion, Simple Stereo","Computer Science, Software Engineering, Information Technology",3d reconstruction - multiple viewpoints this course focuses on the recovery of the 3d structure of a scene from images taken from different viewpoints. we start by first building a comprehensive geometric model of a camera and then develop a method for finding calibrating the internal and external parameters of the camera model. then we show how two such calibrated cameras whose relative positions and orientations are known can be used to recover the 3d structure of the scene. this is what we refer to as simple binocular stereo. next we tackle the problem of uncalibrated stereo where the relative positions and orientations of the two cameras are unknown. interestingly just from the two images taken by the cameras we can both determine the relative positions and orientations of the cameras and then use this information to estimate the 3d structure of the scene. computer science unknown coursera course epipolar geometry camera model camera calibration structure from motion simple stereo computer science software engineering information technology
3D Reconstruction - Single Viewpoint,https://www.coursera.org/learn/3d-reconstruction---single-viewpoint?specialization=firstprinciplesofcomputervision,"This course focuses on the recovery of the 3D structure of a scene from its 2D images. In particular, we are interested in the 3D reconstruction of a rigid scene from images taken by a stationary camera (same viewpoint). This problem is interesting as we want the multiple images of the scene to capture complementary information despite the fact that the scene is rigid and the camera is fixed. To this end, we explore several ways of capturing images where each image provides additional information about the scene.",Computer Science,Unknown,4.9,Coursera,Course,"Photometric Stereo, Depth from Focus and Defocus, Structed Light Methods, Reflectance Models, Radiometry","Computer Science, Software Engineering, Information Technology",3d reconstruction - single viewpoint this course focuses on the recovery of the 3d structure of a scene from its 2d images. in particular we are interested in the 3d reconstruction of a rigid scene from images taken by a stationary camera same viewpoint . this problem is interesting as we want the multiple images of the scene to capture complementary information despite the fact that the scene is rigid and the camera is fixed. to this end we explore several ways of capturing images where each image provides additional information about the scene. computer science unknown coursera course photometric stereo depth from focus and defocus structed light methods reflectance models radiometry computer science software engineering information technology
